GO:0000145	exocyst	A protein complex peripherally associated with the plasma membrane that determines where vesicles dock and fuse. At least eight complex components are conserved between yeast and mammals.
GO:0000346	transcription export complex	The transcription export (TREX) complex couples transcription elongation by RNA polymerase II to mRNA export. The complex associates with the polymerase and travels with it along the length of the transcribed gene. TREX is composed of the THO transcription elongation complex as well as other proteins that couple THO to mRNA export proteins. The TREX complex is known to be found in a wide range of eukaryotes, including S. cerevisiae and metazoans.
GO:0000417	HIR complex	A protein complex proposed to be involved in replication-independent nucleosome assembly, by promoting histone deposition onto DNA. For example, in Saccharomyces, the complex contains Hir1p, Hir2p, Hir3p, and Hpc2p.
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	An enzyme complex that catalyzes the transfer of GlcNAc from UDP-GlcNAc to an acceptor phosphatidylinositol, the first step in the production of GPI anchors for cell surface proteins. The complex contains PIG-A, PIG-C, PIG-H, PIG-Q, PIG-P, and DPM2 in human, and Eri1p, Gpi1p, Gpi2p, Gpi15p, Gpi19p, and Spt14p in budding yeast.
GO:0000817	COMA complex	A multiprotein complex in yeast consisting of Ctf19p, Okp1p, Mcm21p, and Ame1p. This complex bridges the subunits that are in contact with centromeric DNA and the subunits bound to microtubules during kinetochore assembly.
GO:0000938	GARP complex	A quatrefoil tethering complex required for retrograde traffic from the early endosome back to the late Golgi and biogenesis of cytoplasmic vesicles.
GO:0000974	Prp19 complex	A protein complex consisting of Prp19 and associated proteins that is involved in the transition from the precatalytic spliceosome to the activated form that catalyzes step 1 of splicing, and which remains associated with the spliceosome through the second catalytic step. It is widely conserved, found in both yeast and mammals, though the exact composition varies. In S. cerevisiae, it contains Prp19p, Ntc20p, Snt309p, Isy1p, Syf2p, Cwc2p, Prp46p, Clf1p, Cef1p, and Syf1p.
GO:0001401	mitochondrial sorting and assembly machinery complex	A large complex of the mitochondrial outer membrane that mediates sorting of some imported proteins to the outer membrane and their assembly in the membrane; functions after import of incoming proteins by the mitochondrial outer membrane translocase complex.
GO:0001405	presequence translocase-associated import motor	Protein complex located on the matrix side of the mitochondrial inner membrane and associated with the presequence translocase complex; hydrolyzes ATP to provide the force to drive import of proteins into the mitochondrial matrix.
GO:0001534	radial spoke	Protein complex that links the outer microtubule doublet of the ciliary or flagellum axoneme with the sheath that surrounds the central pair of microtubules. Composed of a stalk that attaches to each doublet microtubule and a globular structure (spoke head) that projects toward the central pair of microtubules.
GO:0001535	radial spokehead	Protein complex forming part of eukaryotic flagellar apparatus.
GO:0001536	radial spoke stalk	Globular portion of the radial spoke that projects towards the central pair of microtubules.
GO:0002095	caveolar macromolecular signaling complex	A complex composed of proteins required for beta adrenergic receptor activation of protein kinase A. It includes the Cav 12. subunit of L-type calcium channel, protein kinase A regulatory subunit 2(PKAR2), adenyl cyclase, beta-adrenergic receptor, G-alpha-S, protein phosphatase 2A (PP2A) and caveolin 3 (CAV3).
GO:0002096	polkadots	A punctate, filamentous structure composed of Bcl10 that appears in the cytoplasm of T-cells shortly after T-cell receptor stimulation. Polkadots stands for Punctate Oligomeric Killing and Activating DOmains Transducing Signals.
GO:0002102	podosome	An actin-rich adhesion structure characterized by formation upon cell substrate contact and localization at the substrate-attached part of the cell, contain an F-actin-rich core surrounded by a ring structure containing proteins such as vinculin and talin, and have a diameter of 0.5 mm.
GO:0002111	BRCA2-BRAF35 complex	A heterodimeric complex of BRCA2 and BRAF35 (BRCA2-associated factor 35). The BRCA2-BRAF35 complex is often associated with condensed chromatin during mitosis.
GO:0002133	polycystin complex	A stable heterodimeric complex composed of polycystin-1 and polycystin-2.
GO:0002142	stereocilia ankle link complex	A complex of proteins that connect growing stereocilia in developing cochlear hair cells, composed of Vlgr1, usherin, vezatin, and whirlin.
GO:0002144	cytosolic tRNA wobble base thiouridylase complex	A complex of two proteins involved in the thiolation of U34 in glutamate, lysine, and glutamine tRNAs of eukaryotes.
GO:0002167	VRK3/VHR/ERK complex	A ternary complex consisting of VRK3, VHR (Dusp3), and ERK1 (Mapk3) existing in neuronal cells, and is involved in regulation of the ERK signaling pathway.
GO:0002193	MAML1-RBP-Jkappa- ICN1 complex	A protein complex that consists of the intracellular domain of Notch1 (ICN1), the DNA-binding transcription factor RBP-Jkappa, and the transcriptional coactivator Mastermind-like-1 (MAML1); the complex is involved in transcriptional activation in response to Notch-mediated signaling.
GO:0002199	zona pellucida receptor complex	A multisubunit complex comprising the chaperonin-containing T-complex and several other components involved in mediating sperm-oocyte Interaction.
GO:0002929	MECO complex	A highly stable complex composed of the ATAC complex and the mediator complex (also called TRAP or MED). MECO binds and regulates the transcription of a subset of non-coding RNAs transcribed by RNA polymerase II.
GO:0005577	fibrinogen complex	A highly soluble, elongated protein complex found in blood plasma and involved in clot formation. It is converted into fibrin monomer by the action of thrombin. In the mouse, fibrinogen is a hexamer, 46 nm long and 9 nm maximal diameter, containing two sets of nonidentical chains (alpha, beta, and gamma) linked together by disulfide bonds.
GO:0005601	classical-complement-pathway C3/C5 convertase complex	A heterodimeric protein complex that catalyzes the cleavage of complement components C3 and C5, and acts in the classical pathway of complement activation; consists of one monomer of C2a and one monomer of C4b; C2a is the catalytic subunit, but cannot catalyze cleavage alone.
GO:0005602	complement component C1 complex	A protein complex composed of six subunits of C1q, each formed of the three homologous polypeptide chains C1QA, C1QB, and C1QB, and tetramer of two C1QR and two C1QS polypeptide chains.
GO:0005616	larval serum protein complex	A multisubunit protein complex which, in Drosophila, is a heterohexamer of three subunits, alpha, beta and gamma. The complex is thought to store amino acids for synthesis of adult proteins.
GO:0005662	DNA replication factor A complex	A conserved heterotrimeric complex that binds nonspecifically to single-stranded DNA and is required for multiple processes in eukaryotic DNA metabolism, including DNA replication, DNA repair, and recombination. In all eukaryotic organisms examined the complex is composed of subunits of approximately 70, 30, and 14 kDa.
GO:0005731	nucleolus organizer region	A region of a chromosome where nucleoli form during interphase, and where genes encoding the largest rRNA precursor transcript are tandemly arrayed.
GO:0005742	mitochondrial outer membrane translocase complex	A large complex of the mitochondrial outer membrane that mediates transport of proteins into all mitochondrial compartments.
GO:0005744	mitochondrial inner membrane presequence translocase complex	The protein transport machinery of the mitochondrial inner membrane that contains three essential Tim proteins: Tim17 and Tim23 are thought to build a preprotein translocation channel while Tim44 interacts transiently with the matrix heat-shock protein Hsp70 to form an ATP-driven import motor.
GO:0005745	m-AAA complex	Protease complex of the mitochondrial inner membrane that is involved in mitochondrial protein turnover and in processing of proteins imported into mitochondria.
GO:0005785	signal recognition particle receptor complex	A transmembrane heterodimeric protein located in the membrane of the rough endoplasmic reticulum. Both subunits contain GTPase domains with which signal recognition particle interacts. In the presence of GTP and SRP receptor, SRP is released from the ribosome-nascent chain complex.
GO:0005831	steroid hormone aporeceptor complex	A protein complex consisting of a steroid receptor associated with nonreceptor proteins, minimally a dimer of Hsp90 and a monomer of hsp56/FKBP59; forms in the absence of bound ligand.
GO:0005832	chaperonin-containing T-complex	A multisubunit ring-shaped complex that mediates protein folding in the cytosol without a cofactor.
GO:0005833	hemoglobin complex	An iron-containing, oxygen carrying complex. In vertebrates it is made up of two pairs of associated globin polypeptide chains, each chain carrying a noncovalently bound heme prosthetic group.
GO:0005834	heterotrimeric G-protein complex	Any of a family of heterotrimeric GTP-binding and hydrolyzing proteins; they belong to a superfamily of GTPases that includes monomeric proteins such as EF-Tu and RAS. Heterotrimeric G-proteins consist of three subunits; the alpha subunit contains the guanine nucleotide binding site and possesses GTPase activity; the beta and gamma subunits are tightly associated and function as a beta-gamma heterodimer; extrinsic plasma membrane proteins (cytoplasmic face) that function as a complex to transduce signals from G-protein coupled receptors to an effector protein.
GO:0005835	fatty acid synthase complex	A multienzyme complex that catalyses the synthesis of fatty acids from acetyl CoA.
GO:0005850	eukaryotic translation initiation factor 2 complex	Complex of three heterogeneous polypeptide chains, that form a ternary complex with initiator methionyl-tRNA and GTP. This ternary complex binds to free 40S subunit, which subsequently binds the 5' end of mRNA.
GO:0005851	eukaryotic translation initiation factor 2B complex	A multisubunit guanine nucleotide exchange factor which catalyzes the exchange of GDP bound to initiation factor eIF2 for GTP, generating active eIF2-GTP. In humans, it is composed of five subunits, alpha, beta, delta, gamma and epsilon.
GO:0005853	eukaryotic translation elongation factor 1 complex	A multisubunit nucleotide exchange complex that binds GTP and aminoacyl-tRNAs, and catalyzes their codon-dependent placement at the A-site of the ribosome. In humans, the complex is composed of four subunits, alpha, beta, delta and gamma.
GO:0005854	nascent polypeptide-associated complex	A heterodimeric protein complex that can reversibly bind to ribosomes, and is located in direct proximity to newly synthesized polypeptide chains as they emerge from the ribosome.
GO:0005885	Arp2/3 protein complex	A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments.
GO:0005922	connexon complex	An assembly of six molecules of connexin, made in the Golgi apparatus and subsequently transported to the plasma membrane, where docking of two connexons on apposed plasma membranes across the extracellular space forms a gap junction.
GO:0005931	nexin complex	A protein complex found in the axoneme of eukaryotic cilia and flagella. It forms interconnections between the microtubule outer doublets that surround the inner central pair of microtubules.
GO:0005954	calcium- and calmodulin-dependent protein kinase complex	An enzyme complex which in eukaryotes is composed of four different chains: alpha, beta, gamma, and delta. The different isoforms assemble into homo- or heteromultimeric holoenzymes composed of 8 to 12 subunits. Catalyzes the phosphorylation of proteins to O-phosphoproteins.
GO:0005956	protein kinase CK2 complex	A protein complex that possesses protein serine/threonine kinase activity, and contains two catalytic alpha subunits and two regulatory beta subunits. Protein kinase CK2 complexes are found in nearly every subcellular compartment, and can phosphorylate many protein substrates in addition to casein.
GO:0008074	guanylate cyclase complex, soluble	Complex that possesses guanylate cyclase activity and is not bound to a membrane.
GO:0008180	COP9 signalosome	A protein complex that catalyzes the deneddylation of proteins, including the cullin component of SCF ubiquitin E3 ligase; deneddylation increases the activity of cullin family ubiquitin ligases. The signalosome is involved in many regulatory process, including some which control development, in many species; also regulates photomorphogenesis in plants; in many species its subunits are highly similar to those of the proteasome.
GO:0008537	proteasome activator complex	A multisubunit complex that activates the hydrolysis of small nonubiquitinated peptides by binding to the proteasome core complex.
